area,station,stationNormalized,query,confidence,score,lat,lon,displayName,reason,resultCount
関西,新加古川変電所（東播変電所）,新加古川,新加古川変電所（東播変電所） 関西 変電所 日本,none,0,35.0081253,135.7565612,"心, 新町通, 御影町, 中京区, 京都市, 京都府, 600-8492, 日本","stationContained=false, displayHasKind=false, overlap=0.25, queryOverlap=0.2",1
関西,新神戸変電所,新神戸,新神戸変電所 関西 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.3",5
関西,新生駒変電所,新生駒,新生駒変電所 関西 変電所 日本,none,0,35.0081253,135.7565612,"心, 新町通, 御影町, 中京区, 京都市, 京都府, 600-8492, 日本","stationContained=false, displayHasKind=false, overlap=0.333, queryOverlap=0.3",1
関西,神戸変電所,神戸,神戸変電所 関西 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.333",5
関西,西京都変電所,西京都,西京都変電所 関西 変電所 日本,none,0.139,35.0035349,135.7531292,"TinToy&Doll Museum, 四条通, 傘鉾町, 下京区, 京都市, 京都府, 600-8473, 日本","stationContained=false, displayHasKind=false, overlap=0.667, queryOverlap=0.444",1
関西,西神戸変電所,西神戸,西神戸変電所 関西 変電所 日本,none,0,,,,no_result,0
関西,西大阪変電所,西大阪,西大阪変電所 関西 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0.333, queryOverlap=0.333",5
関西,西播変電所,西播,西播変電所 関西 変電所 日本,none,0.05,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0.5, queryOverlap=0.375",4
関西,泉南変電所,泉南,泉南変電所 関西 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.333",4
関西,大河内発電所,大河内,大河内発電所 関西 発電所 日本,none,0,35.0026662,135.7616327,"日本武尊　春日大社　伏見稲荷大社　石清水八幡宮　北野天満宮, 綾小路, 塩屋町, 下京区, 京都市, 京都府, 600-8071, 日本","stationContained=false, displayHasKind=false, overlap=0.333, queryOverlap=0.3",5
関西,猪名川変電所,猪名川,猪名川変電所 関西 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.3",5
関西,東近江開閉所,東近江,東近江開閉所 関西 開閉所 日本,none,0,,,,no_result,0
関西,東近江変電所,東近江,東近江変電所 関西 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0.333, queryOverlap=0.4",5
関西,東大阪変電所,東大阪,東大阪変電所 関西 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0.333, queryOverlap=0.4",5
関西,東大阪変電所（新寝屋川変電所）,東大阪,東大阪変電所（新寝屋川変電所） 関西 変電所 日本,none,0,,,,no_result,0
関西,東大和開閉所,東大和,東大和開閉所 関西 開閉所 日本,none,0,,,,no_result,0
関西,南京都変電所,南京都,南京都変電所 関西 変電所 日本,none,0,,,,no_result,0
